Quality;Delivery;Technology;Price;Location;Supplier Score;
3.0;6.0;3.5;4.0;1.5;0.05;
3.5;3.5;6.0;6.0;1.5;0.05;a
3.0;4.0;5.0;4.0;7.0;0.07;
7.0;6.0;4.5;6.0;3.0;0.10;a
6.5;6.5;6.5;6.5;5.5;0.11;
5.0;4.0;5.5;4.0;5.0;0.11;a
5.0;6.0;6.0;5.5;2.5;0.12;
3.5;5.0;6.0;6.5;3.5;0.13;a
5.5;4.5;6.0;4.5;7.0;0.15;
5.0;6.5;3.5;3.5;8.0;0.16;a
5.5;6.5;5.5;7.0;5.5;0.19;
5.0;7.0;5.5;7.0;5.5;0.19;a
4.0;6.0;7.0;5.0;9.0;0.19;
2.0;6.5;2.0;8.0;4.0;0.22;a
5.5;7.5;5.5;3.5;7.5;0.23;
5.0;7.0;9.0;4.5;5.0;0.23;a
4.0;4.0;7.0;6.5;6.0;0.25;
6.0;6.5;8.0;4.5;5.0;0.27;a
4.0;5.5;7.0;8.0;4.0;0.28;
5.0;6.5;8.0;5.0;6.0;0.30;a
7.0;8.0;7.0;4.5;2.5;0.34;
6.5;7.5;6.0;6.5;3.0;0.36 ;a
6.0;7.0;9.0;7.0;8.0;0.42;
7.0;8.0;7.0;6.0;3.0;0.44;a
8.5;8.0;7.5;2.5;7.5;0.46;
7.0;6.5;7.0;5.0;8.0;0.47;a
6.0;7.0;6.0;5.0;6.0;0.48;
7.5;6.0;7.0;5.5;8.0;0.49;a
7.5;7.5;9.0;3.0;4.5;0.59;
8.0;9.0;8.0;4.0;5.0;0.59;a
8.5;7.0;6.5;4.0;7.0;0.61;
8.0;9.0;8.0;5.0;4.0;0.61;a
8.0;8.0;8.5;6.0;4.0;0.64;
